strain	Line	N_generation	N_pSTR	mutation	N_mutation	mutation_rate
N2	502	239	18786	deletions	73	8.12944028914971e-06
N2	502	239	18786	insertions	68	7.57262931044083e-06
N2	502	239	18786	substitutions	439	4.88880039306401e-05
N2	503	236	18524	deletions	75	8.57796939563516e-06
N2	503	236	18524	insertions	54	6.17613796485732e-06
N2	503	236	18524	substitutions	394	4.50629325584034e-05
N2	504	212	20107	deletions	113	1.32545598031663e-05
N2	504	212	20107	insertions	46	5.39566151279335e-06
N2	504	212	20107	substitutions	724	8.4923020331791e-05
N2	505	235	18349	deletions	118	1.36826982280906e-05
N2	505	235	18349	insertions	111	1.28710127399835e-05
N2	505	235	18349	substitutions	512	5.93689957015456e-05
N2	508	214	19718	deletions	134	1.58780866289448e-05
N2	508	214	19718	insertions	48	5.68767282230857e-06
N2	508	214	19718	substitutions	630	7.46507057928e-05
N2	509	243	17937	deletions	68	7.80050707884546e-06
N2	509	243	17937	insertions	73	8.37407377581939e-06
N2	509	243	17937	substitutions	457	5.24239961034173e-05
N2	511	229	16429	deletions	54	7.17657374952854e-06
N2	511	229	16429	insertions	69	9.17006645773091e-06
N2	511	229	16429	substitutions	388	5.15650113855014e-05
N2	512	230	17809	deletions	291	3.55218538745676e-05
N2	512	230	17809	insertions	326	3.97942417976255e-05
N2	512	230	17809	substitutions	425	5.18789962085609e-05
N2	513	242	18446	deletions	142	1.59052602055766e-05
N2	513	242	18446	insertions	161	1.80334288246326e-05
N2	513	242	18446	substitutions	509	5.7012517215764e-05
N2	514	241	18605	deletions	62	6.9137707817356e-06
N2	514	241	18605	insertions	63	7.02528321369908e-06
N2	514	241	18605	substitutions	439	4.89539576319666e-05
N2	516	218	18898	deletions	57	6.9178719946094e-06
N2	516	218	18898	insertions	51	6.18967494254525e-06
N2	516	218	18898	substitutions	353	4.28422598964407e-05
N2	520	244	18430	deletions	143	1.58997713990909e-05
N2	520	244	18430	insertions	103	1.14522828958487e-05
N2	520	244	18430	substitutions	533	5.92627843057026e-05
N2	522	234	18925	deletions	151	1.70488545653671e-05
N2	522	234	18925	insertions	62	7.00019194074676e-06
N2	522	234	18925	substitutions	499	5.63402544908489e-05
N2	523	243	16598	deletions	289	3.5826618011888e-05
N2	523	243	16598	insertions	322	3.99175467122074e-05
N2	523	243	16598	substitutions	328	4.06613519304473e-05
N2	524	234	18191	deletions	204	2.39622580340518e-05
N2	524	234	18191	insertions	221	2.59591128702228e-05
N2	524	234	18191	substitutions	501	5.88484866424507e-05
N2	525	224	18860	deletions	73	8.63978942584457e-06
N2	525	224	18860	insertions	51	6.03601727011059e-06
N2	525	224	18860	substitutions	407	4.81697848810786e-05
N2	526	236	17983	deletions	245	2.88643605966841e-05
N2	526	236	17983	insertions	275	3.23987720983188e-05
N2	526	236	17983	substitutions	443	5.21914765074736e-05
N2	529	243	18881	deletions	80	8.71823809639015e-06
N2	529	243	18881	insertions	80	8.71823809639015e-06
