comparison	strain	Line	OMA	N_generation	N_pSTR	motif_length	mutation	N_mutaiton	mutation_rate
Ancestor-O1MA	N2	503	O1MA	236	18493	4	substitutions	3	3.43693949245111e-07
Ancestor-O1MA	N2	503	O1MA	236	18493	6	substitutions	2	2.2912929949674e-07
Ancestor-O1MA	N2	504	O1MA	212	20084	1	deletions	106	1.24477195777734e-05
Ancestor-O1MA	N2	504	O1MA	212	20084	2	deletions	13	1.52660711802881e-06
Ancestor-O1MA	N2	504	O1MA	212	20084	4	deletions	1	1.17431316771447e-07
Ancestor-O1MA	N2	504	O1MA	212	20084	6	deletions	1	1.17431316771447e-07
Ancestor-O1MA	N2	504	O1MA	212	20084	1	insertions	36	4.22752740377208e-06
Ancestor-O1MA	N2	504	O1MA	212	20084	2	insertions	4	4.69725267085787e-07
Ancestor-O1MA	N2	504	O1MA	212	20084	3	insertions	1	1.17431316771447e-07
Ancestor-O1MA	N2	504	O1MA	212	20084	5	insertions	2	2.34862633542893e-07
Ancestor-O1MA	N2	504	O1MA	212	20084	6	insertions	2	2.34862633542893e-07
Ancestor-O1MA	N2	504	O1MA	212	20084	1	substitutions	726	8.52551359760703e-05
Ancestor-O1MA	N2	504	O1MA	212	20084	2	substitutions	2	2.34862633542893e-07
Ancestor-O1MA	N2	504	O1MA	212	20084	3	substitutions	1	1.17431316771447e-07
Ancestor-O1MA	N2	504	O1MA	212	20084	4	substitutions	3	3.5229395031434e-07
Ancestor-O1MA	N2	504	O1MA	212	20084	6	substitutions	2	2.34862633542893e-07
Ancestor-O2MA	N2	504.03	O2MA	357	18930	1	deletions	92	6.80673748633104e-06
Ancestor-O2MA	N2	504.03	O2MA	357	18930	2	deletions	16	1.1837804324054e-06
Ancestor-O2MA	N2	504.03	O2MA	357	18930	3	deletions	1	7.39862770253373e-08
Ancestor-O2MA	N2	504.03	O2MA	357	18930	5	deletions	1	7.39862770253373e-08
Ancestor-O2MA	N2	504.03	O2MA	357	18930	1	insertions	44	3.25539618911484e-06
Ancestor-O2MA	N2	504.03	O2MA	357	18930	2	insertions	6	4.43917662152024e-07
Ancestor-O2MA	N2	504.03	O2MA	357	18930	3	insertions	1	7.39862770253373e-08
Ancestor-O2MA	N2	504.03	O2MA	357	18930	5	insertions	2	1.47972554050675e-07
Ancestor-O2MA	N2	504.03	O2MA	357	18930	6	insertions	2	1.47972554050675e-07
Ancestor-O2MA	N2	504.03	O2MA	357	18930	1	substitutions	640	4.73512172962159e-05
Ancestor-O2MA	N2	504.03	O2MA	357	18930	2	substitutions	2	1.47972554050675e-07
Ancestor-O2MA	N2	504.03	O2MA	357	18930	3	substitutions	2	1.47972554050675e-07
Ancestor-O2MA	N2	504.03	O2MA	357	18930	4	substitutions	3	2.21958831076012e-07
Ancestor-O2MA	N2	504.03	O2MA	357	18930	6	substitutions	2	1.47972554050675e-07
Ancestor-O2MA	N2	504.1	O2MA	355	19155	1	deletions	78	5.73527303208444e-06
Ancestor-O2MA	N2	504.1	O2MA	355	19155	2	deletions	9	6.6176227293282e-07
Ancestor-O2MA	N2	504.1	O2MA	355	19155	3	deletions	2	1.4705828287396e-07
Ancestor-O2MA	N2	504.1	O2MA	355	19155	4	deletions	1	7.352914143698e-08
Ancestor-O2MA	N2	504.1	O2MA	355	19155	5	deletions	1	7.352914143698e-08
Ancestor-O2MA	N2	504.1	O2MA	355	19155	6	deletions	1	7.352914143698e-08
Ancestor-O2MA	N2	504.1	O2MA	355	19155	1	insertions	43	3.16175308179014e-06
Ancestor-O2MA	N2	504.1	O2MA	355	19155	2	insertions	6	4.4117484862188e-07
Ancestor-O2MA	N2	504.1	O2MA	355	19155	3	insertions	1	7.352914143698e-08
Ancestor-O2MA	N2	504.1	O2MA	355	19155	5	insertions	2	1.4705828287396e-07
Ancestor-O2MA	N2	504.1	O2MA	355	19155	6	insertions	2	1.4705828287396e-07
Ancestor-O2MA	N2	504.1	O2MA	355	19155	1	substitutions	609	4.47792471351208e-05
Ancestor-O2MA	N2	504.1	O2MA	355	19155	2	substitutions	2	1.4705828287396e-07
Ancestor-O2MA	N2	504.1	O2MA	355	19155	4	substitutions	2	1.4705828287396e-07
Ancestor-O2MA	N2	504.1	O2MA	355	19155	6	substitutions	4	2.9411656574792e-07
Ancestor-O2MA	N2	504.15	O2MA	359	17683	1	deletions	100	7.87625210748816e-06
Ancestor-O2MA	N2	504.15	O2MA	359	17683	2	deletions	16	1.26020033719811e-06
Ancestor-O2MA	N2	504.15	O2MA	359	17683	3	deletions	5	3.93812605374408e-07
Ancestor-O2MA	N2	504.15	O2MA	359	17683	5	deletions	1	7.87625210748816e-08
Ancestor-O2MA	N2	504.15	O2MA	359	17683	6	deletions	1	7.87625210748816e-08
Ancestor-O2MA	N2	504.15	O2MA	359	17683	1	insertions	47	3.70183849051943e-06
Ancestor-O2MA	N2	504.15	O2MA	359	17683	2	insertions	10	7.87625210748816e-07
Ancestor-O2MA	N2	504.15	O2MA	359	17683	3	insertions	2	1.57525042149763e-07
Ancestor-O2MA	N2	504.15	O2MA	359	17683	5	insertions	2	1.57525042149763e-07
Ancestor-O2MA	N2	504.15	O2MA	359	17683	6	insertions	1	7.87625210748816e-08
Ancestor-O2MA	N2	504.15	O2MA	359	17683	1	substitutions	513	4.04051733114142e-05
Ancestor-O2MA	N2	504.15	O2MA	359	17683	2	substitutions	1	7.87625210748816e-08
Ancestor-O2MA	N2	504.15	O2MA	359	17683	4	substitutions	3	2.36287563224645e-07
Ancestor-O2MA	N2	504.23	O2MA	358	19022	1	deletions	109	8.00308258182675e-06
Ancestor-O2MA	N2	504.23	O2MA	358	19022	2	deletions	20	1.46845551960124e-06
Ancestor-O2MA	N2	504.23	O2MA	358	19022	3	deletions	1	7.34227759800619e-08
Ancestor-O2MA	N2	504.23	O2MA	358	19022	4	deletions	1	7.34227759800619e-08
Ancestor-O2MA	N2	504.23	O2MA	358	19022	5	deletions	1	7.34227759800619e-08
Ancestor-O2MA	N2	504.23	O2MA	358	19022	1	insertions	72	5.28643987056446e-06
Ancestor-O2MA	N2	504.23	O2MA	358	19022	2	insertions	9	6.60804983820557e-07
Ancestor-O2MA	N2	504.23	O2MA	358	19022	3	insertions	1	7.34227759800619e-08
Ancestor-O2MA	N2	504.23	O2MA	358	19022	4	insertions	1	7.34227759800619e-08
Ancestor-O2MA	N2	504.23	O2MA	358	19022	5	insertions	3	2.20268327940186e-07
Ancestor-O2MA	N2	504.23	O2MA	358	19022	6	insertions	3	2.20268327940186e-07
Ancestor-O2MA	N2	504.23	O2MA	358	19022	1	substitutions	587	4.30991695002963e-05
Ancestor-O2MA	N2	504.23	O2MA	358	19022	2	substitutions	2	1.46845551960124e-07
Ancestor-O2MA	N2	504.23	O2MA	358	19022	3	substitutions	3	2.20268327940186e-07
Ancestor-O2MA	N2	504.23	O2MA	358	19022	4	substitutions	3	2.20268327940186e-07
Ancestor-O2MA	N2	504.23	O2MA	358	19022	6	substitutions	3	2.20268327940186e-07
Ancestor-O2MA	N2	504.3	O2MA	355	19024	1	deletions	96	7.10740473116242e-06
Ancestor-O2MA	N2	504.3	O2MA	355	19024	2	deletions	15	1.11053198924413e-06
Ancestor-O2MA	N2	504.3	O2MA	355	19024	6	deletions	1	7.40354659496085e-08
Ancestor-O2MA	N2	504.3	O2MA	355	19024	1	insertions	47	3.4796668996316e-06
Ancestor-O2MA	N2	504.3	O2MA	355	19024	2	insertions	6	4.44212795697651e-07
Ancestor-O2MA	N2	504.3	O2MA	355	19024	3	insertions	1	7.40354659496085e-08
Ancestor-O2MA	N2	504.3	O2MA	355	19024	5	insertions	1	7.40354659496085e-08
Ancestor-O2MA	N2	504.3	O2MA	355	19024	6	insertions	1	7.40354659496085e-08
Ancestor-O2MA	N2	504.3	O2MA	355	19024	1	substitutions	644	4.76788400715479e-05
Ancestor-O2MA	N2	504.3	O2MA	355	19024	2	substitutions	1	7.40354659496085e-08
Ancestor-O2MA	N2	504.3	O2MA	355	19024	3	substitutions	2	1.48070931899217e-07
Ancestor-O2MA	N2	504.3	O2MA	355	19024	4	substitutions	5	3.70177329748042e-07
Ancestor-O2MA	N2	504.3	O2MA	355	19024	6	substitutions	2	1.48070931899217e-07
Ancestor-O1MA	N2	505	O1MA	235	18293	1	deletions	103	1.1979934191779e-05
Ancestor-O1MA	N2	505	O1MA	235	18293	2	deletions	13	1.51203052905948e-06
Ancestor-O1MA	N2	505	O1MA	235	18293	3	deletions	2	2.32620081393766e-07
Ancestor-O1MA	N2	505	O1MA	235	18293	6	deletions	2	2.32620081393766e-07
Ancestor-O1MA	N2	505	O1MA	235	18293	1	insertions	99	1.15146940289914e-05
Ancestor-O1MA	N2	505	O1MA	235	18293	2	insertions	6	6.97860244181299e-07
Ancestor-O1MA	N2	505	O1MA	235	18293	3	insertions	1	1.16310040696883e-07
Ancestor-O1MA	N2	505	O1MA	235	18293	5	insertions	2	2.32620081393766e-07
Ancestor-O1MA	N2	505	O1MA	235	18293	6	insertions	3	3.4893012209065e-07
Ancestor-O1MA	N2	505	O1MA	235	18293	1	substitutions	511	5.94344307961073e-05
Ancestor-O1MA	N2	505	O1MA	235	18293	2	substitutions	1	1.16310040696883e-07
Ancestor-O1MA	N2	505	O1MA	235	18293	3	substitutions	1	1.16310040696883e-07
Ancestor-O1MA	N2	505	O1MA	235	18293	4	substitutions	3	3.4893012209065e-07
Ancestor-O1MA	N2	505	O1MA	235	18293	6	substitutions	2	2.32620081393766e-07
Ancestor-O1MA	N2	508	O1MA	214	19689	1	deletions	120	1.42401255409468e-05
Ancestor-O1MA	N2	508	O1MA	214	19689	2	deletions	16	1.89868340545957e-06
Ancestor-O1MA	N2	508	O1MA	214	19689	6	deletions	1	1.18667712841223e-07
Ancestor-O1MA	N2	508	O1MA	214	19689	1	insertions	39	4.6280408008077e-06
Ancestor-O1MA	N2	508	O1MA	214	19689	2	insertions	2	2.37335425682446e-07
Ancestor-O1MA	N2	508	O1MA	214	19689	3	insertions	1	1.18667712841223e-07
Ancestor-O1MA	N2	508	O1MA	214	19689	5	insertions	1	1.18667712841223e-07
Ancestor-O1MA	N2	508	O1MA	214	19689	6	insertions	2	2.37335425682446e-07
Ancestor-O1MA	N2	508	O1MA	214	19689	1	substitutions	625	7.41673205257644e-05
Ancestor-O1MA	N2	508	O1MA	214	19689	2	substitutions	3	3.56003138523669e-07
Ancestor-O1MA	N2	508	O1MA	214	19689	4	substitutions	3	3.56003138523669e-07
Ancestor-O1MA	N2	508	O1MA	214	19689	6	substitutions	2	2.37335425682446e-07
Ancestor-O2MA	N2	508.25	O2MA	353	19329	1	deletions	84	6.15552640962654e-06
Ancestor-O2MA	N2	508.25	O2MA	353	19329	2	deletions	17	1.24576129718632e-06
Ancestor-O2MA	N2	508.25	O2MA	353	19329	3	deletions	2	1.46560152610156e-07
Ancestor-O2MA	N2	508.25	O2MA	353	19329	4	deletions	1	7.32800763050779e-08
Ancestor-O2MA	N2	508.25	O2MA	353	19329	1	insertions	55	4.03040419677928e-06
Ancestor-O2MA	N2	508.25	O2MA	353	19329	2	insertions	4	2.93120305220311e-07
Ancestor-O2MA	N2	508.25	O2MA	353	19329	3	insertions	1	7.32800763050779e-08
Ancestor-O2MA	N2	508.25	O2MA	353	19329	5	insertions	3	2.19840228915234e-07
Ancestor-O2MA	N2	508.25	O2MA	353	19329	6	insertions	1	7.32800763050779e-08
Ancestor-O2MA	N2	508.25	O2MA	353	19329	1	substitutions	632	4.63130082248092e-05
Ancestor-O2MA	N2	508.25	O2MA	353	19329	2	substitutions	5	3.66400381525389e-07
Ancestor-O2MA	N2	508.25	O2MA	353	19329	3	substitutions	1	7.32800763050779e-08
Ancestor-O2MA	N2	508.25	O2MA	353	19329	4	substitutions	4	2.93120305220311e-07
Ancestor-O2MA	N2	508.25	O2MA	353	19329	6	substitutions	3	2.19840228915234e-07
Ancestor-O2MA	N2	508.3	O2MA	360	17606	1	deletions	86	6.78430333093516e-06
Ancestor-O2MA	N2	508.3	O2MA	360	17606	2	deletions	28	2.20884294495563e-06
Ancestor-O2MA	N2	508.3	O2MA	360	17606	3	deletions	2	1.5777449606826e-07
Ancestor-O2MA	N2	508.3	O2MA	360	17606	4	deletions	1	7.88872480341298e-08
Ancestor-O2MA	N2	508.3	O2MA	360	17606	6	deletions	3	2.36661744102389e-07
Ancestor-O2MA	N2	508.3	O2MA	360	17606	1	insertions	46	3.62881340956997e-06
Ancestor-O2MA	N2	508.3	O2MA	360	17606	2	insertions	3	2.36661744102389e-07
Ancestor-O2MA	N2	508.3	O2MA	360	17606	3	insertions	1	7.88872480341298e-08
Ancestor-O2MA	N2	508.3	O2MA	360	17606	5	insertions	3	2.36661744102389e-07
Ancestor-O2MA	N2	508.3	O2MA	360	17606	6	insertions	1	7.88872480341298e-08
Ancestor-O2MA	N2	508.3	O2MA	360	17606	1	substitutions	518	4.08635944816792e-05
Ancestor-O2MA	N2	508.3	O2MA	360	17606	2	substitutions	3	2.36661744102389e-07
Ancestor-O2MA	N2	508.3	O2MA	360	17606	4	substitutions	3	2.36661744102389e-07
Ancestor-O2MA	N2	508.3	O2MA	360	17606	6	substitutions	5	3.94436240170649e-07
Ancestor-O2MA	N2	508.34	O2MA	353	17999	1	deletions	96	7.55471621259412e-06
Ancestor-O2MA	N2	508.34	O2MA	353	17999	2	deletions	29	2.28215385588781e-06
Ancestor-O2MA	N2	508.34	O2MA	353	17999	3	deletions	4	3.14779842191422e-07
Ancestor-O2MA	N2	508.34	O2MA	353	17999	6	deletions	1	7.86949605478554e-08
Ancestor-O2MA	N2	508.34	O2MA	353	17999	1	insertions	49	3.85605306684492e-06
Ancestor-O2MA	N2	508.34	O2MA	353	17999	2	insertions	7	5.50864723834988e-07
Ancestor-O2MA	N2	508.34	O2MA	353	17999	3	insertions	1	7.86949605478554e-08
Ancestor-O2MA	N2	508.34	O2MA	353	17999	4	insertions	1	7.86949605478554e-08
Ancestor-O2MA	N2	508.34	O2MA	353	17999	5	insertions	2	1.57389921095711e-07
Ancestor-O2MA	N2	508.34	O2MA	353	17999	6	insertions	2	1.57389921095711e-07
Ancestor-O2MA	N2	508.34	O2MA	353	17999	1	substitutions	537	4.22591938141984e-05
Ancestor-O2MA	N2	508.34	O2MA	353	17999	2	substitutions	5	3.93474802739277e-07
Ancestor-O2MA	N2	508.34	O2MA	353	17999	3	substitutions	1	7.86949605478554e-08
Ancestor-O2MA	N2	508.34	O2MA	353	17999	4	substitutions	1	7.86949605478554e-08
Ancestor-O2MA	N2	508.34	O2MA	353	17999	6	substitutions	2	1.57389921095711e-07
Ancestor-O2MA	N2	508.35	O2MA	350	18692	1	deletions	93	7.10770077344013e-06
Ancestor-O2MA	N2	508.35	O2MA	350	18692	2	deletions	25	1.91067225092477e-06
Ancestor-O2MA	N2	508.35	O2MA	350	18692	3	deletions	1	7.64268900369906e-08
Ancestor-O2MA	N2	508.35	O2MA	350	18692	5	deletions	2	1.52853780073981e-07
Ancestor-O2MA	N2	508.35	O2MA	350	18692	6	deletions	2	1.52853780073981e-07
Ancestor-O2MA	N2	508.35	O2MA	350	18692	1	insertions	60	4.58561340221944e-06
Ancestor-O2MA	N2	508.35	O2MA	350	18692	2	insertions	11	8.40695790406897e-07
Ancestor-O2MA	N2	508.35	O2MA	350	18692	3	insertions	1	7.64268900369906e-08
Ancestor-O2MA	N2	508.35	O2MA	350	18692	4	insertions	1	7.64268900369906e-08
Ancestor-O2MA	N2	508.35	O2MA	350	18692	5	insertions	2	1.52853780073981e-07
Ancestor-O2MA	N2	508.35	O2MA	350	18692	6	insertions	2	1.52853780073981e-07
Ancestor-O2MA	N2	508.35	O2MA	350	18692	1	substitutions	552	4.21876433004188e-05
Ancestor-O2MA	N2	508.35	O2MA	350	18692	2	substitutions	4	3.05707560147962e-07
Ancestor-O2MA	N2	508.35	O2MA	350	18692	4	substitutions	3	2.29280670110972e-07
Ancestor-O2MA	N2	508.37	O2MA	350	17109	1	deletions	88	7.34784532785585e-06
Ancestor-O2MA	N2	508.37	O2MA	350	17109	2	deletions	18	1.50296836251597e-06
Ancestor-O2MA	N2	508.37	O2MA	350	17109	3	deletions	3	2.50494727085995e-07
Ancestor-O2MA	N2	508.37	O2MA	350	17109	5	deletions	1	8.34982423619983e-08
Ancestor-O2MA	N2	508.37	O2MA	350	17109	6	deletions	2	1.66996484723997e-07
Ancestor-O2MA	N2	508.37	O2MA	350	17109	1	insertions	35	2.92243848266994e-06
Ancestor-O2MA	N2	508.37	O2MA	350	17109	2	insertions	4	3.33992969447993e-07
Ancestor-O2MA	N2	508.37	O2MA	350	17109	3	insertions	1	8.34982423619983e-08
Ancestor-O2MA	N2	508.37	O2MA	350	17109	5	insertions	2	1.66996484723997e-07
Ancestor-O2MA	N2	508.37	O2MA	350	17109	6	insertions	3	2.50494727085995e-07
Ancestor-O2MA	N2	508.37	O2MA	350	17109	1	substitutions	459	3.83256932441572e-05
Ancestor-O2MA	N2	508.37	O2MA	350	17109	4	substitutions	3	2.50494727085995e-07
Ancestor-O2MA	N2	508.37	O2MA	350	17109	6	substitutions	2	1.66996484723997e-07
Ancestor-O1MA	N2	509	O1MA	243	17906	1	deletions	56	6.43506854956772e-06
Ancestor-O1MA	N2	509	O1MA	243	17906	2	deletions	7	8.04383568695966e-07
Ancestor-O1MA	N2	509	O1MA	243	17906	5	deletions	2	2.29823876770276e-07
Ancestor-O1MA	N2	509	O1MA	243	17906	6	deletions	2	2.29823876770276e-07
Ancestor-O1MA	N2	509	O1MA	243	17906	1	insertions	57	6.54998048795286e-06
Ancestor-O1MA	N2	509	O1MA	243	17906	2	insertions	8	9.19295507081103e-07
Ancestor-O1MA	N2	509	O1MA	243	17906	3	insertions	2	2.29823876770276e-07
Ancestor-O1MA	N2	509	O1MA	243	17906	4	insertions	1	1.14911938385138e-07
Ancestor-O1MA	N2	509	O1MA	243	17906	5	insertions	3	3.44735815155414e-07
Ancestor-O1MA	N2	509	O1MA	243	17906	6	insertions	3	3.44735815155414e-07
Ancestor-O1MA	N2	509	O1MA	243	17906	1	substitutions	459	5.27445797187783e-05
Ancestor-O1MA	N2	509	O1MA	243	17906	2	substitutions	1	1.14911938385138e-07
Ancestor-O1MA	N2	509	O1MA	243	17906	3	substitutions	2	2.29823876770276e-07
Ancestor-O1MA	N2	509	O1MA	243	17906	4	substitutions	4	4.59647753540552e-07
Ancestor-O1MA	N2	509	O1MA	243	17906	6	substitutions	3	3.44735815155414e-07
Ancestor-O1MA	N2	511	O1MA	229	16385	1	deletions	41	5.46351239884174e-06
Ancestor-O1MA	N2	511	O1MA	229	16385	2	deletions	5	6.66281999858748e-07
Ancestor-O1MA	N2	511	O1MA	229	16385	3	deletions	4	5.33025599886999e-07
Ancestor-O1MA	N2	511	O1MA	229	16385	4	deletions	1	1.3325639997175e-07
Ancestor-O1MA	N2	511	O1MA	229	16385	5	deletions	1	1.3325639997175e-07
Ancestor-O1MA	N2	511	O1MA	229	16385	1	insertions	50	6.66281999858748e-06
Ancestor-O1MA	N2	511	O1MA	229	16385	2	insertions	8	1.066051199774e-06
Ancestor-O1MA	N2	511	O1MA	229	16385	3	insertions	2	2.66512799943499e-07
Ancestor-O1MA	N2	511	O1MA	229	16385	4	insertions	2	2.66512799943499e-07
Ancestor-O1MA	N2	511	O1MA	229	16385	5	insertions	2	2.66512799943499e-07
Ancestor-O1MA	N2	511	O1MA	229	16385	6	insertions	4	5.33025599886999e-07
Ancestor-O1MA	N2	511	O1MA	229	16385	1	substitutions	378	5.03709191893214e-05
Ancestor-O1MA	N2	511	O1MA	229	16385	3	substitutions	2	2.66512799943499e-07
Ancestor-O1MA	N2	511	O1MA	229	16385	4	substitutions	1	1.3325639997175e-07
Ancestor-O1MA	N2	511	O1MA	229	16385	5	substitutions	3	3.99769199915249e-07
Ancestor-O1MA	N2	512	O1MA	230	17715	1	deletions	223	2.73656567144032e-05
Ancestor-O1MA	N2	512	O1MA	230	17715	2	deletions	40	4.9086379756777e-06
Ancestor-O1MA	N2	512	O1MA	230	17715	3	deletions	16	1.96345519027108e-06
Ancestor-O1MA	N2	512	O1MA	230	17715	4	deletions	1	1.22715949391942e-07
Ancestor-O1MA	N2	512	O1MA	230	17715	5	deletions	2	2.45431898783885e-07
Ancestor-O1MA	N2	512	O1MA	230	17715	6	deletions	5	6.13579746959712e-07
Ancestor-O1MA	N2	512	O1MA	230	17715	1	insertions	298	3.65693529187989e-05
Ancestor-O1MA	N2	512	O1MA	230	17715	2	insertions	24	2.94518278540662e-06
Ancestor-O1MA	N2	512	O1MA	230	17715	3	insertions	3	3.68147848175827e-07
Ancestor-O1MA	N2	512	O1MA	230	17715	4	insertions	1	1.22715949391942e-07
Ancestor-O1MA	N2	512	O1MA	230	17715	5	insertions	2	2.45431898783885e-07
Ancestor-O1MA	N2	512	O1MA	230	17715	6	insertions	2	2.45431898783885e-07
Ancestor-O1MA	N2	512	O1MA	230	17715	1	substitutions	399	4.8963663807385e-05
Ancestor-O1MA	N2	512	O1MA	230	17715	2	substitutions	8	9.8172759513554e-07
Ancestor-O1MA	N2	512	O1MA	230	17715	3	substitutions	8	9.8172759513554e-07
Ancestor-O1MA	N2	512	O1MA	230	17715	4	substitutions	4	4.9086379756777e-07
Ancestor-O1MA	N2	512	O1MA	230	17715	6	substitutions	2	2.45431898783885e-07
Ancestor-O1MA	N2	513	O1MA	242	18370	1	deletions	132	1.4846340377097e-05
Ancestor-O1MA	N2	513	O1MA	242	18370	2	deletions	14	1.57461185817696e-06
Ancestor-O1MA	N2	513	O1MA	242	18370	3	deletions	2	2.24944551168137e-07
Ancestor-O1MA	N2	513	O1MA	242	18370	4	deletions	1	1.12472275584069e-07
Ancestor-O1MA	N2	513	O1MA	242	18370	1	insertions	155	1.74332027155306e-05
Ancestor-O1MA	N2	513	O1MA	242	18370	2	insertions	4	4.49889102336274e-07
Ancestor-O1MA	N2	513	O1MA	242	18370	3	insertions	1	1.12472275584069e-07
Ancestor-O1MA	N2	513	O1MA	242	18370	5	insertions	2	2.24944551168137e-07
Ancestor-O1MA	N2	513	O1MA	242	18370	1	substitutions	499	5.61236655164502e-05
Ancestor-O1MA	N2	513	O1MA	242	18370	2	substitutions	2	2.24944551168137e-07
Ancestor-O1MA	N2	513	O1MA	242	18370	3	substitutions	1	1.12472275584069e-07
Ancestor-O1MA	N2	513	O1MA	242	18370	4	substitutions	3	3.37416826752206e-07
Ancestor-O1MA	N2	513	O1MA	242	18370	6	substitutions	3	3.37416826752206e-07
Ancestor-O1MA	N2	514	O1MA	241	18590	1	deletions	57	6.36133735399615e-06
Ancestor-O1MA	N2	514	O1MA	241	18590	2	deletions	3	3.34807229157692e-07
Ancestor-O1MA	N2	514	O1MA	241	18590	3	deletions	1	1.11602409719231e-07
Ancestor-O1MA	N2	514	O1MA	241	18590	5	deletions	1	1.11602409719231e-07
Ancestor-O1MA	N2	514	O1MA	241	18590	6	deletions	4	4.46409638876923e-07
Ancestor-O1MA	N2	514	O1MA	241	18590	1	insertions	49	5.4685180762423e-06
Ancestor-O1MA	N2	514	O1MA	241	18590	2	insertions	10	1.11602409719231e-06
Ancestor-O1MA	N2	514	O1MA	241	18590	3	insertions	1	1.11602409719231e-07
Ancestor-O1MA	N2	514	O1MA	241	18590	4	insertions	1	1.11602409719231e-07
Ancestor-O1MA	N2	514	O1MA	241	18590	5	insertions	1	1.11602409719231e-07
Ancestor-O1MA	N2	514	O1MA	241	18590	6	insertions	2	2.23204819438461e-07
Ancestor-O1MA	N2	514	O1MA	241	18590	1	substitutions	435	4.85470482278653e-05
Ancestor-O1MA	N2	514	O1MA	241	18590	2	substitutions	1	1.11602409719231e-07
Ancestor-O1MA	N2	514	O1MA	241	18590	3	substitutions	3	3.34807229157692e-07
Ancestor-O1MA	N2	514	O1MA	241	18590	4	substitutions	2	2.23204819438461e-07
Ancestor-O1MA	N2	514	O1MA	241	18590	6	substitutions	1	1.11602409719231e-07
Ancestor-O1MA	N2	516	O1MA	218	18869	1	deletions	61	7.41471497592527e-06
Ancestor-O1MA	N2	516	O1MA	218	18869	2	deletions	3	3.64658113570095e-07
Ancestor-O1MA	N2	516	O1MA	218	18869	1	insertions	41	4.98366088545797e-06
Ancestor-O1MA	N2	516	O1MA	218	18869	2	insertions	6	7.29316227140191e-07
Ancestor-O1MA	N2	516	O1MA	218	18869	3	insertions	2	2.4310540904673e-07
Ancestor-O1MA	N2	516	O1MA	218	18869	5	insertions	1	1.21552704523365e-07
Ancestor-O1MA	N2	516	O1MA	218	18869	6	insertions	2	2.4310540904673e-07
Ancestor-O1MA	N2	516	O1MA	218	18869	1	substitutions	350	4.25434465831778e-05
Ancestor-O1MA	N2	516	O1MA	218	18869	2	substitutions	1	1.21552704523365e-07
Ancestor-O1MA	N2	516	O1MA	218	18869	3	substitutions	1	1.21552704523365e-07
Ancestor-O1MA	N2	516	O1MA	218	18869	4	substitutions	2	2.4310540904673e-07
Ancestor-O1MA	N2	516	O1MA	218	18869	6	substitutions	2	2.4310540904673e-07
Ancestor-O1MA	N2	520	O1MA	244	18371	1	deletions	122	1.36084045506505e-05
Ancestor-O1MA	N2	520	O1MA	244	18371	2	deletions	20	2.23088599190992e-06
Ancestor-O1MA	N2	520	O1MA	244	18371	3	deletions	3	3.34632898786487e-07
Ancestor-O1MA	N2	520	O1MA	244	18371	6	deletions	3	3.34632898786487e-07
Ancestor-O1MA	N2	520	O1MA	244	18371	1	insertions	94	1.04851641619766e-05
