comparison	strain	Line	OMA	N_generation	N_pSTR	motif_length	mutation	N_mutaiton	mutation_rate
Ancestor-O1MA	N2	502	O1MA	239	18746	1	deletions	68	7.5887877000929e-06
Ancestor-O1MA	N2	502	O1MA	239	18746	2	deletions	3	3.3479945735704e-07
Ancestor-O1MA	N2	502	O1MA	239	18746	3	deletions	1	1.11599819119013e-07
Ancestor-O1MA	N2	502	O1MA	239	18746	5	deletions	1	1.11599819119013e-07
Ancestor-O1MA	N2	502	O1MA	239	18746	6	deletions	1	1.11599819119013e-07
Ancestor-O1MA	N2	502	O1MA	239	18746	1	insertions	56	6.24958987066474e-06
Ancestor-O1MA	N2	502	O1MA	239	18746	2	insertions	5	5.57999095595066e-07
Ancestor-O1MA	N2	502	O1MA	239	18746	3	insertions	2	2.23199638238026e-07
Ancestor-O1MA	N2	502	O1MA	239	18746	5	insertions	2	2.23199638238026e-07
Ancestor-O1MA	N2	502	O1MA	239	18746	6	insertions	3	3.3479945735704e-07
Ancestor-O1MA	N2	502	O1MA	239	18746	1	substitutions	434	4.84343214976517e-05
Ancestor-O1MA	N2	502	O1MA	239	18746	3	substitutions	1	1.11599819119013e-07
Ancestor-O1MA	N2	502	O1MA	239	18746	4	substitutions	4	4.46399276476053e-07
Ancestor-O1MA	N2	502	O1MA	239	18746	6	substitutions	2	2.23199638238026e-07
Ancestor-O1MA	N2	503	O1MA	236	18493	1	deletions	65	7.44670223364406e-06
Ancestor-O1MA	N2	503	O1MA	236	18493	2	deletions	10	1.1456464974837e-06
Ancestor-O1MA	N2	503	O1MA	236	18493	6	deletions	2	2.2912929949674e-07
Ancestor-O1MA	N2	503	O1MA	236	18493	1	insertions	42	4.81171528943155e-06
Ancestor-O1MA	N2	503	O1MA	236	18493	2	insertions	6	6.87387898490221e-07
Ancestor-O1MA	N2	503	O1MA	236	18493	3	insertions	1	1.1456464974837e-07
Ancestor-O1MA	N2	503	O1MA	236	18493	5	insertions	2	2.2912929949674e-07
Ancestor-O1MA	N2	503	O1MA	236	18493	6	insertions	3	3.43693949245111e-07
Ancestor-O1MA	N2	503	O1MA	236	18493	1	substitutions	384	4.39928255033742e-05
Ancestor-O1MA	N2	503	O1MA	236	18493	3	substitutions	3	3.43693949245111e-07
