comparison	strain	Line	OMA	N_generation	N_pSTR	motif_length	mutation	N_mutaiton	mutation_rate
Ancestor-O1MA	N2	502	O1MA	239	2901	1	deletions	3	2.16344385646848e-06
Ancestor-O1MA	N2	502	O1MA	239	2901	5	deletions	1	7.2114795215616e-07
Ancestor-O1MA	N2	502	O1MA	239	2901	1	insertions	1	7.2114795215616e-07
Ancestor-O1MA	N2	502	O1MA	239	2901	3	insertions	1	7.2114795215616e-07
Ancestor-O1MA	N2	502	O1MA	239	2901	1	substitutions	14	1.00960713301862e-05
Ancestor-O1MA	N2	502	O1MA	239	2901	4	substitutions	3	2.16344385646848e-06
Ancestor-O1MA	N2	503	O1MA	236	2894	1	deletions	4	2.92832628582807e-06
Ancestor-O1MA	N2	503	O1MA	236	2894	2	deletions	2	1.46416314291404e-06
Ancestor-O1MA	N2	503	O1MA	236	2894	1	insertions	1	7.32081571457018e-07
Ancestor-O1MA	N2	503	O1MA	236	2894	3	insertions	1	7.32081571457018e-07
Ancestor-O1MA	N2	503	O1MA	236	2894	1	substitutions	12	8.78497885748422e-06
Ancestor-O1MA	N2	503	O1MA	236	2894	3	substitutions	2	1.46416314291404e-06
Ancestor-O1MA	N2	503	O1MA	236	2894	4	substitutions	1	7.32081571457018e-07
Ancestor-O1MA	N2	504	O1MA	212	2992	1	deletions	3	2.36479669054586e-06
Ancestor-O1MA	N2	504	O1MA	212	2992	2	insertions	1	7.88265563515286e-07
Ancestor-O1MA	N2	504	O1MA	212	2992	3	insertions	1	7.88265563515286e-07
Ancestor-O1MA	N2	504	O1MA	212	2992	1	substitutions	14	1.1035717889214e-05
Ancestor-O2MA	N2	504.03	O2MA	357	2856	1	deletions	4	1.96156894130201e-06
Ancestor-O2MA	N2	504.03	O2MA	357	2856	2	deletions	3	1.47117670597651e-06
Ancestor-O2MA	N2	504.03	O2MA	357	2856	3	deletions	1	4.90392235325503e-07
Ancestor-O2MA	N2	504.03	O2MA	357	2856	1	insertions	1	4.90392235325503e-07
Ancestor-O2MA	N2	504.03	O2MA	357	2856	2	insertions	3	1.47117670597651e-06
Ancestor-O2MA	N2	504.03	O2MA	357	2856	3	insertions	1	4.90392235325503e-07
Ancestor-O2MA	N2	504.03	O2MA	357	2856	1	substitutions	14	6.86549129455704e-06
Ancestor-O2MA	N2	504.03	O2MA	357	2856	2	substitutions	1	4.90392235325503e-07
Ancestor-O2MA	N2	504.03	O2MA	357	2856	3	substitutions	1	4.90392235325503e-07
Ancestor-O2MA	N2	504.1	O2MA	355	2924	1	deletions	5	2.40843143677386e-06
Ancestor-O2MA	N2	504.1	O2MA	355	2924	2	deletions	1	4.81686287354772e-07
Ancestor-O2MA	N2	504.1	O2MA	355	2924	3	deletions	2	9.63372574709543e-07
Ancestor-O2MA	N2	504.1	O2MA	355	2924	5	deletions	1	4.81686287354772e-07
Ancestor-O2MA	N2	504.1	O2MA	355	2924	1	insertions	1	4.81686287354772e-07
Ancestor-O2MA	N2	504.1	O2MA	355	2924	2	insertions	2	9.63372574709543e-07
Ancestor-O2MA	N2	504.1	O2MA	355	2924	3	insertions	1	4.81686287354772e-07
Ancestor-O2MA	N2	504.1	O2MA	355	2924	1	substitutions	16	7.70698059767635e-06
Ancestor-O2MA	N2	504.1	O2MA	355	2924	6	substitutions	1	4.81686287354772e-07
Ancestor-O2MA	N2	504.15	O2MA	359	2642	1	deletions	8	4.21728284683461e-06
Ancestor-O2MA	N2	504.15	O2MA	359	2642	2	deletions	6	3.16296213512596e-06
Ancestor-O2MA	N2	504.15	O2MA	359	2642	3	deletions	5	2.63580177927163e-06
Ancestor-O2MA	N2	504.15	O2MA	359	2642	1	insertions	1	5.27160355854327e-07
Ancestor-O2MA	N2	504.15	O2MA	359	2642	2	insertions	2	1.05432071170865e-06
Ancestor-O2MA	N2	504.15	O2MA	359	2642	3	insertions	1	5.27160355854327e-07
