comparison	strain	Line	OMA	N_generation	N_pSTR	motif_length	mutation	N_mutaiton	mutation_rate
Ancestor-O2MA	N2	504.15	O2MA	359	2642	1	substitutions	19	1.00160467612322e-05
Ancestor-O2MA	N2	504.15	O2MA	359	2642	2	substitutions	1	5.27160355854327e-07
Ancestor-O2MA	N2	504.23	O2MA	358	2909	1	deletions	7	3.36078938221009e-06
Ancestor-O2MA	N2	504.23	O2MA	358	2909	2	deletions	8	3.84090215109725e-06
Ancestor-O2MA	N2	504.23	O2MA	358	2909	3	deletions	1	4.80112768887156e-07
Ancestor-O2MA	N2	504.23	O2MA	358	2909	1	insertions	2	9.60225537774312e-07
Ancestor-O2MA	N2	504.23	O2MA	358	2909	2	insertions	4	1.92045107554862e-06
Ancestor-O2MA	N2	504.23	O2MA	358	2909	3	insertions	1	4.80112768887156e-07
Ancestor-O2MA	N2	504.23	O2MA	358	2909	1	substitutions	15	7.20169153330734e-06
Ancestor-O2MA	N2	504.23	O2MA	358	2909	2	substitutions	1	4.80112768887156e-07
Ancestor-O2MA	N2	504.23	O2MA	358	2909	3	substitutions	1	4.80112768887156e-07
Ancestor-O2MA	N2	504.23	O2MA	358	2909	4	substitutions	1	4.80112768887156e-07
Ancestor-O2MA	N2	504.23	O2MA	358	2909	6	substitutions	1	4.80112768887156e-07
Ancestor-O2MA	N2	504.3	O2MA	355	2895	1	deletions	5	2.43255734753947e-06
Ancestor-O2MA	N2	504.3	O2MA	355	2895	2	deletions	4	1.94604587803157e-06
Ancestor-O2MA	N2	504.3	O2MA	355	2895	1	insertions	2	9.73022939015787e-07
Ancestor-O2MA	N2	504.3	O2MA	355	2895	2	insertions	2	9.73022939015787e-07
Ancestor-O2MA	N2	504.3	O2MA	355	2895	3	insertions	1	4.86511469507894e-07
Ancestor-O2MA	N2	504.3	O2MA	355	2895	1	substitutions	14	6.81116057311051e-06
Ancestor-O2MA	N2	504.3	O2MA	355	2895	3	substitutions	2	9.73022939015787e-07
Ancestor-O2MA	N2	504.3	O2MA	355	2895	4	substitutions	2	9.73022939015787e-07
Ancestor-O2MA	N2	504.3	O2MA	355	2895	6	substitutions	1	4.86511469507894e-07
Ancestor-O1MA	N2	505	O1MA	235	2827	1	deletions	5	3.7631050132085e-06
Ancestor-O1MA	N2	505	O1MA	235	2827	3	deletions	1	7.526210026417e-07
Ancestor-O1MA	N2	505	O1MA	235	2827	1	insertions	2	1.5052420052834e-06
Ancestor-O1MA	N2	505	O1MA	235	2827	3	insertions	1	7.526210026417e-07
Ancestor-O1MA	N2	505	O1MA	235	2827	1	substitutions	14	1.05366940369838e-05
Ancestor-O1MA	N2	505	O1MA	235	2827	6	substitutions	1	7.526210026417e-07
Ancestor-O1MA	N2	508	O1MA	214	2978	1	deletions	3	2.35370913176378e-06
Ancestor-O1MA	N2	508	O1MA	214	2978	2	deletions	1	7.84569710587925e-07
Ancestor-O1MA	N2	508	O1MA	214	2978	1	insertions	1	7.84569710587925e-07
Ancestor-O1MA	N2	508	O1MA	214	2978	3	insertions	1	7.84569710587925e-07
Ancestor-O1MA	N2	508	O1MA	214	2978	1	substitutions	14	1.0983975948231e-05
Ancestor-O1MA	N2	508	O1MA	214	2978	2	substitutions	2	1.56913942117585e-06
Ancestor-O2MA	N2	508.25	O2MA	353	2942	1	deletions	4	1.92580638327784e-06
Ancestor-O2MA	N2	508.25	O2MA	353	2942	2	deletions	4	1.92580638327784e-06
Ancestor-O2MA	N2	508.25	O2MA	353	2942	3	deletions	1	4.8145159581946e-07
Ancestor-O2MA	N2	508.25	O2MA	353	2942	1	insertions	3	1.44435478745838e-06
Ancestor-O2MA	N2	508.25	O2MA	353	2942	3	insertions	1	4.8145159581946e-07
Ancestor-O2MA	N2	508.25	O2MA	353	2942	1	substitutions	15	7.22177393729189e-06
Ancestor-O2MA	N2	508.25	O2MA	353	2942	2	substitutions	2	9.62903191638919e-07
Ancestor-O2MA	N2	508.25	O2MA	353	2942	3	substitutions	1	4.8145159581946e-07
Ancestor-O2MA	N2	508.25	O2MA	353	2942	4	substitutions	1	4.8145159581946e-07
Ancestor-O2MA	N2	508.25	O2MA	353	2942	6	substitutions	1	4.8145159581946e-07
Ancestor-O2MA	N2	508.3	O2MA	360	2621	1	deletions	5	2.64954003984908e-06
Ancestor-O2MA	N2	508.3	O2MA	360	2621	2	deletions	11	5.82898808766798e-06
Ancestor-O2MA	N2	508.3	O2MA	360	2621	3	deletions	1	5.29908007969816e-07
Ancestor-O2MA	N2	508.3	O2MA	360	2621	4	deletions	1	5.29908007969816e-07
Ancestor-O2MA	N2	508.3	O2MA	360	2621	1	insertions	2	1.05981601593963e-06
Ancestor-O2MA	N2	508.3	O2MA	360	2621	2	insertions	1	5.29908007969816e-07
Ancestor-O2MA	N2	508.3	O2MA	360	2621	3	insertions	1	5.29908007969816e-07
Ancestor-O2MA	N2	508.3	O2MA	360	2621	1	substitutions	14	7.41871211157743e-06
Ancestor-O2MA	N2	508.3	O2MA	360	2621	2	substitutions	2	1.05981601593963e-06
Ancestor-O2MA	N2	508.3	O2MA	360	2621	4	substitutions	1	5.29908007969816e-07
Ancestor-O2MA	N2	508.3	O2MA	360	2621	6	substitutions	3	1.58972402390945e-06
Ancestor-O2MA	N2	508.34	O2MA	353	2723	1	deletions	5	2.60086411109227e-06
Ancestor-O2MA	N2	508.34	O2MA	353	2723	2	deletions	13	6.7622466888399e-06
Ancestor-O2MA	N2	508.34	O2MA	353	2723	3	deletions	4	2.08069128887382e-06
Ancestor-O2MA	N2	508.34	O2MA	353	2723	2	insertions	3	1.56051846665536e-06
Ancestor-O2MA	N2	508.34	O2MA	353	2723	3	insertions	1	5.20172822218454e-07
Ancestor-O2MA	N2	508.34	O2MA	353	2723	1	substitutions	14	7.28241951105835e-06
Ancestor-O2MA	N2	508.34	O2MA	353	2723	2	substitutions	3	1.56051846665536e-06
Ancestor-O2MA	N2	508.34	O2MA	353	2723	3	substitutions	1	5.20172822218454e-07
Ancestor-O2MA	N2	508.35	O2MA	350	2880	1	deletions	3	1.48809523809524e-06
Ancestor-O2MA	N2	508.35	O2MA	350	2880	2	deletions	8	3.96825396825397e-06
Ancestor-O2MA	N2	508.35	O2MA	350	2880	3	deletions	1	4.96031746031746e-07
Ancestor-O2MA	N2	508.35	O2MA	350	2880	1	insertions	3	1.48809523809524e-06
Ancestor-O2MA	N2	508.35	O2MA	350	2880	3	insertions	1	4.96031746031746e-07
Ancestor-O2MA	N2	508.35	O2MA	350	2880	1	substitutions	14	6.94444444444444e-06
Ancestor-O2MA	N2	508.35	O2MA	350	2880	2	substitutions	2	9.92063492063492e-07
Ancestor-O2MA	N2	508.37	O2MA	350	2583	1	deletions	7	3.87146728610143e-06
Ancestor-O2MA	N2	508.37	O2MA	350	2583	2	deletions	4	2.21226702062939e-06
Ancestor-O2MA	N2	508.37	O2MA	350	2583	3	deletions	3	1.65920026547204e-06
Ancestor-O2MA	N2	508.37	O2MA	350	2583	1	insertions	2	1.1061335103147e-06
Ancestor-O2MA	N2	508.37	O2MA	350	2583	2	insertions	1	5.53066755157348e-07
Ancestor-O2MA	N2	508.37	O2MA	350	2583	3	insertions	1	5.53066755157348e-07
Ancestor-O2MA	N2	508.37	O2MA	350	2583	1	substitutions	13	7.18986781704552e-06
Ancestor-O1MA	N2	509	O1MA	243	2808	1	deletions	4	2.93107288992063e-06
Ancestor-O1MA	N2	509	O1MA	243	2808	2	deletions	1	7.32768222480157e-07
Ancestor-O1MA	N2	509	O1MA	243	2808	6	deletions	1	7.32768222480157e-07
Ancestor-O1MA	N2	509	O1MA	243	2808	1	insertions	5	3.66384111240078e-06
Ancestor-O1MA	N2	509	O1MA	243	2808	2	insertions	2	1.46553644496031e-06
Ancestor-O1MA	N2	509	O1MA	243	2808	3	insertions	1	7.32768222480157e-07
Ancestor-O1MA	N2	509	O1MA	243	2808	1	substitutions	37	2.71124242317658e-05
Ancestor-O1MA	N2	509	O1MA	243	2808	3	substitutions	1	7.32768222480157e-07
Ancestor-O1MA	N2	509	O1MA	243	2808	4	substitutions	2	1.46553644496031e-06
Ancestor-O1MA	N2	509	O1MA	243	2808	6	substitutions	1	7.32768222480157e-07
Ancestor-O1MA	N2	511	O1MA	229	2580	1	deletions	8	6.77025151484378e-06
Ancestor-O1MA	N2	511	O1MA	229	2580	2	deletions	3	2.53884431806642e-06
Ancestor-O1MA	N2	511	O1MA	229	2580	3	deletions	1	8.46281439355472e-07
Ancestor-O1MA	N2	511	O1MA	229	2580	5	deletions	1	8.46281439355472e-07
Ancestor-O1MA	N2	511	O1MA	229	2580	1	insertions	6	5.07768863613283e-06
Ancestor-O1MA	N2	511	O1MA	229	2580	3	insertions	2	1.69256287871094e-06
Ancestor-O1MA	N2	511	O1MA	229	2580	1	substitutions	34	2.8773568938086e-05
Ancestor-O1MA	N2	511	O1MA	229	2580	3	substitutions	1	8.46281439355472e-07
Ancestor-O1MA	N2	511	O1MA	229	2580	4	substitutions	1	8.46281439355472e-07
Ancestor-O1MA	N2	511	O1MA	229	2580	5	substitutions	2	1.69256287871094e-06
Ancestor-O1MA	N2	512	O1MA	230	2742	1	deletions	16	1.26851235213903e-05
Ancestor-O1MA	N2	512	O1MA	230	2742	2	deletions	12	9.51384264104272e-06
Ancestor-O1MA	N2	512	O1MA	230	2742	3	deletions	11	8.72102242095582e-06
Ancestor-O1MA	N2	512	O1MA	230	2742	4	deletions	1	7.92820220086893e-07
Ancestor-O1MA	N2	512	O1MA	230	2742	5	deletions	2	1.58564044017379e-06
Ancestor-O1MA	N2	512	O1MA	230	2742	6	deletions	3	2.37846066026068e-06
Ancestor-O1MA	N2	512	O1MA	230	2742	1	insertions	27	2.14061459423461e-05
Ancestor-O1MA	N2	512	O1MA	230	2742	2	insertions	7	5.54974154060825e-06
Ancestor-O1MA	N2	512	O1MA	230	2742	3	insertions	2	1.58564044017379e-06
Ancestor-O1MA	N2	512	O1MA	230	2742	4	insertions	1	7.92820220086893e-07
Ancestor-O1MA	N2	512	O1MA	230	2742	1	substitutions	17	1.34779437414772e-05
Ancestor-O1MA	N2	512	O1MA	230	2742	2	substitutions	4	3.17128088034757e-06
Ancestor-O1MA	N2	512	O1MA	230	2742	3	substitutions	6	4.75692132052136e-06
Ancestor-O1MA	N2	512	O1MA	230	2742	4	substitutions	1	7.92820220086893e-07
Ancestor-O1MA	N2	513	O1MA	242	2856	1	deletions	4	2.89371947125958e-06
Ancestor-O1MA	N2	513	O1MA	242	2856	3	deletions	1	7.23429867814895e-07
Ancestor-O1MA	N2	513	O1MA	242	2856	1	insertions	9	6.51086881033405e-06
Ancestor-O1MA	N2	513	O1MA	242	2856	3	insertions	1	7.23429867814895e-07
Ancestor-O1MA	N2	513	O1MA	242	2856	1	substitutions	16	1.15748778850383e-05
Ancestor-O1MA	N2	513	O1MA	242	2856	2	substitutions	2	1.44685973562979e-06
Ancestor-O1MA	N2	513	O1MA	242	2856	6	substitutions	1	7.23429867814895e-07
Ancestor-O1MA	N2	514	O1MA	241	2894	1	deletions	2	1.43378631422287e-06
Ancestor-O1MA	N2	514	O1MA	241	2894	2	deletions	1	7.16893157111437e-07
Ancestor-O1MA	N2	514	O1MA	241	2894	1	insertions	2	1.43378631422287e-06
Ancestor-O1MA	N2	514	O1MA	241	2894	3	insertions	1	7.16893157111437e-07
Ancestor-O1MA	N2	514	O1MA	241	2894	4	insertions	1	7.16893157111437e-07
Ancestor-O1MA	N2	514	O1MA	241	2894	1	substitutions	22	1.57716494564516e-05
Ancestor-O1MA	N2	514	O1MA	241	2894	2	substitutions	1	7.16893157111437e-07
Ancestor-O1MA	N2	514	O1MA	241	2894	3	substitutions	2	1.43378631422287e-06
Ancestor-O1MA	N2	516	O1MA	218	2921	1	deletions	3	2.35560901915581e-06
Ancestor-O1MA	N2	516	O1MA	218	2921	1	insertions	1	7.85203006385271e-07
Ancestor-O1MA	N2	516	O1MA	218	2921	2	insertions	1	7.85203006385271e-07
Ancestor-O1MA	N2	516	O1MA	218	2921	3	insertions	1	7.85203006385271e-07
Ancestor-O1MA	N2	516	O1MA	218	2921	1	substitutions	9	7.06682705746744e-06
Ancestor-O1MA	N2	520	O1MA	244	2843	1	deletions	5	3.60390490304054e-06
Ancestor-O1MA	N2	520	O1MA	244	2843	2	deletions	2	1.44156196121622e-06
Ancestor-O1MA	N2	520	O1MA	244	2843	3	deletions	1	7.20780980608109e-07
Ancestor-O1MA	N2	520	O1MA	244	2843	1	insertions	1	7.20780980608109e-07
Ancestor-O1MA	N2	520	O1MA	244	2843	3	insertions	1	7.20780980608109e-07
Ancestor-O1MA	N2	520	O1MA	244	2843	1	substitutions	16	1.15324956897297e-05
Ancestor-O1MA	N2	520	O1MA	244	2843	2	substitutions	1	7.20780980608109e-07
Ancestor-O1MA	N2	522	O1MA	234	2926	1	deletions	7	5.11184721711037e-06
Ancestor-O1MA	N2	522	O1MA	234	2926	2	deletions	2	1.46052777631725e-06
Ancestor-O1MA	N2	522	O1MA	234	2926	3	deletions	1	7.30263888158625e-07
Ancestor-O1MA	N2	522	O1MA	234	2926	1	insertions	1	7.30263888158625e-07
Ancestor-O1MA	N2	522	O1MA	234	2926	3	insertions	1	7.30263888158625e-07
Ancestor-O1MA	N2	522	O1MA	234	2926	1	substitutions	14	1.02236944342207e-05
Ancestor-O1MA	N2	522	O1MA	234	2926	6	substitutions	2	1.46052777631725e-06
Ancestor-O2MA	N2	522.04	O2MA	382	2857	1	deletions	7	3.20696663105407e-06
Ancestor-O2MA	N2	522.04	O2MA	382	2857	2	deletions	7	3.20696663105407e-06
Ancestor-O2MA	N2	522.04	O2MA	382	2857	6	deletions	1	4.58138090150581e-07
Ancestor-O2MA	N2	522.04	O2MA	382	2857	1	insertions	4	1.83255236060232e-06
Ancestor-O2MA	N2	522.04	O2MA	382	2857	3	insertions	1	4.58138090150581e-07
Ancestor-O2MA	N2	522.04	O2MA	382	2857	1	substitutions	14	6.41393326210813e-06
Ancestor-O2MA	N2	522.04	O2MA	382	2857	3	substitutions	1	4.58138090150581e-07
Ancestor-O2MA	N2	522.04	O2MA	382	2857	4	substitutions	1	4.58138090150581e-07
Ancestor-O2MA	N2	522.04	O2MA	382	2857	6	substitutions	3	1.37441427045174e-06
Ancestor-O2MA	N2	522.12	O2MA	382	2896	1	deletions	9	4.06771571548408e-06
Ancestor-O2MA	N2	522.12	O2MA	382	2896	2	deletions	8	3.61574730265251e-06
Ancestor-O2MA	N2	522.12	O2MA	382	2896	3	deletions	3	1.35590523849469e-06
Ancestor-O2MA	N2	522.12	O2MA	382	2896	6	deletions	1	4.51968412831564e-07
Ancestor-O2MA	N2	522.12	O2MA	382	2896	1	insertions	1	4.51968412831564e-07
Ancestor-O2MA	N2	522.12	O2MA	382	2896	2	insertions	1	4.51968412831564e-07
Ancestor-O2MA	N2	522.12	O2MA	382	2896	3	insertions	1	4.51968412831564e-07
Ancestor-O2MA	N2	522.12	O2MA	382	2896	5	insertions	1	4.51968412831564e-07
Ancestor-O2MA	N2	522.12	O2MA	382	2896	1	substitutions	15	6.77952619247346e-06
Ancestor-O2MA	N2	522.22	O2MA	382	2988	1	deletions	7	3.06636668839406e-06
Ancestor-O2MA	N2	522.22	O2MA	382	2988	2	deletions	2	8.7610476811259e-07
Ancestor-O2MA	N2	522.22	O2MA	382	2988	3	insertions	1	4.38052384056295e-07
Ancestor-O2MA	N2	522.22	O2MA	382	2988	1	substitutions	14	6.13273337678813e-06
Ancestor-O2MA	N2	522.32	O2MA	383	2915	1	deletions	5	2.23925047807998e-06
Ancestor-O2MA	N2	522.32	O2MA	383	2915	2	deletions	4	1.79140038246398e-06
Ancestor-O2MA	N2	522.32	O2MA	383	2915	3	deletions	3	1.34355028684799e-06
Ancestor-O2MA	N2	522.32	O2MA	383	2915	1	insertions	4	1.79140038246398e-06
Ancestor-O2MA	N2	522.32	O2MA	383	2915	3	insertions	1	4.47850095615995e-07
Ancestor-O2MA	N2	522.32	O2MA	383	2915	1	substitutions	15	6.71775143423993e-06
Ancestor-O2MA	N2	522.32	O2MA	383	2915	4	substitutions	1	4.47850095615995e-07
Ancestor-O2MA	N2	522.32	O2MA	383	2915	6	substitutions	1	4.47850095615995e-07
Ancestor-O1MA	N2	523	O1MA	243	2565	1	deletions	26	2.08568976166984e-05
Ancestor-O1MA	N2	523	O1MA	243	2565	2	deletions	8	6.41750695898411e-06
Ancestor-O1MA	N2	523	O1MA	243	2565	3	deletions	3	2.40656510961904e-06
Ancestor-O1MA	N2	523	O1MA	243	2565	5	deletions	1	8.02188369873014e-07
Ancestor-O1MA	N2	523	O1MA	243	2565	1	insertions	27	2.16590859865714e-05
Ancestor-O1MA	N2	523	O1MA	243	2565	2	insertions	1	8.02188369873014e-07
Ancestor-O1MA	N2	523	O1MA	243	2565	3	insertions	1	8.02188369873014e-07
Ancestor-O1MA	N2	523	O1MA	243	2565	6	insertions	1	8.02188369873014e-07
Ancestor-O1MA	N2	523	O1MA	243	2565	1	substitutions	19	1.52415790275873e-05
Ancestor-O1MA	N2	523	O1MA	243	2565	3	substitutions	3	2.40656510961904e-06
Ancestor-O1MA	N2	523	O1MA	243	2565	4	substitutions	3	2.40656510961904e-06
Ancestor-O1MA	N2	523	O1MA	243	2565	5	substitutions	1	8.02188369873014e-07
Ancestor-O1MA	N2	523	O1MA	243	2565	6	substitutions	3	2.40656510961904e-06
Ancestor-O1MA	N2	524	O1MA	234	2814	1	deletions	8	6.07463294030458e-06
Ancestor-O1MA	N2	524	O1MA	234	2814	2	deletions	10	7.59329117538073e-06
Ancestor-O1MA	N2	524	O1MA	234	2814	3	deletions	5	3.79664558769036e-06
Ancestor-O1MA	N2	524	O1MA	234	2814	4	deletions	2	1.51865823507615e-06
Ancestor-O1MA	N2	524	O1MA	234	2814	1	insertions	13	9.87127852799495e-06
Ancestor-O1MA	N2	524	O1MA	234	2814	3	insertions	1	7.59329117538073e-07
Ancestor-O1MA	N2	524	O1MA	234	2814	1	substitutions	18	1.36679241156853e-05
Ancestor-O1MA	N2	524	O1MA	234	2814	2	substitutions	4	3.03731647015229e-06
Ancestor-O1MA	N2	524	O1MA	234	2814	3	substitutions	2	1.51865823507615e-06
Ancestor-O1MA	N2	524	O1MA	234	2814	4	substitutions	2	1.51865823507615e-06
Ancestor-O1MA	N2	524	O1MA	234	2814	6	substitutions	2	1.51865823507615e-06
Ancestor-O1MA	N2	525	O1MA	224	2915	1	deletions	5	3.82871845135996e-06
Ancestor-O1MA	N2	525	O1MA	224	2915	3	insertions	1	7.65743690271992e-07
Ancestor-O1MA	N2	525	O1MA	224	2915	1	substitutions	14	1.07204116638079e-05
Ancestor-O1MA	N2	526	O1MA	236	2784	1	deletions	7	5.32705045782194e-06
Ancestor-O1MA	N2	526	O1MA	236	2784	2	deletions	13	9.8930937073836e-06
Ancestor-O1MA	N2	526	O1MA	236	2784	3	deletions	1	7.61007208260277e-07
Ancestor-O1MA	N2	526	O1MA	236	2784	5	deletions	1	7.61007208260277e-07
Ancestor-O1MA	N2	526	O1MA	236	2784	1	insertions	17	1.29371225404247e-05
Ancestor-O1MA	N2	526	O1MA	236	2784	2	insertions	1	7.61007208260277e-07
Ancestor-O1MA	N2	526	O1MA	236	2784	3	insertions	2	1.52201441652055e-06
Ancestor-O1MA	N2	526	O1MA	236	2784	1	substitutions	17	1.29371225404247e-05
Ancestor-O1MA	N2	526	O1MA	236	2784	2	substitutions	5	3.80503604130138e-06
Ancestor-O1MA	N2	526	O1MA	236	2784	3	substitutions	1	7.61007208260277e-07
Ancestor-O1MA	N2	526	O1MA	236	2784	4	substitutions	3	2.28302162478083e-06
Ancestor-O1MA	N2	526	O1MA	236	2784	5	substitutions	1	7.61007208260277e-07
Ancestor-O1MA	N2	526	O1MA	236	2784	6	substitutions	2	1.52201441652055e-06
Ancestor-O1MA	N2	529	O1MA	243	2917	1	deletions	3	2.11616026951417e-06
Ancestor-O1MA	N2	529	O1MA	243	2917	3	deletions	1	7.05386756504724e-07
Ancestor-O1MA	N2	529	O1MA	243	2917	4	deletions	2	1.41077351300945e-06
Ancestor-O1MA	N2	529	O1MA	243	2917	1	insertions	2	1.41077351300945e-06
Ancestor-O1MA	N2	529	O1MA	243	2917	3	insertions	1	7.05386756504724e-07
Ancestor-O1MA	N2	529	O1MA	243	2917	1	substitutions	20	1.41077351300945e-05
Ancestor-O1MA	N2	529	O1MA	243	2917	3	substitutions	1	7.05386756504724e-07
Ancestor-O1MA	N2	529	O1MA	243	2917	6	substitutions	1	7.05386756504724e-07
Ancestor-O1MA	N2	530	O1MA	243	2910	1	deletions	3	2.12125068940647e-06
Ancestor-O1MA	N2	530	O1MA	243	2910	1	substitutions	15	1.06062534470324e-05
Ancestor-O1MA	N2	531	O1MA	233	2901	1	deletions	5	3.69859142844039e-06
Ancestor-O1MA	N2	531	O1MA	233	2901	3	insertions	1	7.39718285688079e-07
Ancestor-O1MA	N2	531	O1MA	233	2901	1	substitutions	14	1.03560559996331e-05
Ancestor-O1MA	N2	531	O1MA	233	2901	2	substitutions	2	1.47943657137616e-06
Ancestor-O1MA	N2	532	O1MA	244	2997	1	deletions	3	2.05123155942828e-06
Ancestor-O1MA	N2	532	O1MA	244	2997	3	insertions	1	6.8374385314276e-07
Ancestor-O1MA	N2	532	O1MA	244	2997	1	substitutions	16	1.09399016502842e-05
Ancestor-O1MA	N2	536	O1MA	238	2833	1	deletions	2	1.48312060440131e-06
Ancestor-O1MA	N2	536	O1MA	238	2833	2	deletions	1	7.41560302200654e-07
Ancestor-O1MA	N2	536	O1MA	238	2833	3	insertions	1	7.41560302200654e-07
Ancestor-O1MA	N2	536	O1MA	238	2833	1	substitutions	14	1.03818442308092e-05
Ancestor-O1MA	N2	536	O1MA	238	2833	6	substitutions	1	7.41560302200654e-07
Ancestor-O1MA	N2	537	O1MA	243	2932	1	deletions	10	7.01778024803643e-06
Ancestor-O1MA	N2	537	O1MA	243	2932	2	deletions	5	3.50889012401821e-06
Ancestor-O1MA	N2	537	O1MA	243	2932	3	deletions	1	7.01778024803643e-07
Ancestor-O1MA	N2	537	O1MA	243	2932	1	insertions	2	1.40355604960729e-06
Ancestor-O1MA	N2	537	O1MA	243	2932	3	insertions	1	7.01778024803643e-07
Ancestor-O1MA	N2	537	O1MA	243	2932	1	substitutions	15	1.05266703720546e-05
Ancestor-O1MA	N2	537	O1MA	243	2932	4	substitutions	1	7.01778024803643e-07
Ancestor-O2MA	N2	537.13	O2MA	389	2981	1	deletions	5	2.15589910047266e-06
Ancestor-O2MA	N2	537.13	O2MA	389	2981	2	deletions	2	8.62359640189064e-07
Ancestor-O2MA	N2	537.13	O2MA	389	2981	2	insertions	2	8.62359640189064e-07
Ancestor-O2MA	N2	537.13	O2MA	389	2981	3	insertions	1	4.31179820094532e-07
Ancestor-O2MA	N2	537.13	O2MA	389	2981	1	substitutions	14	6.03651748132345e-06
Ancestor-O2MA	N2	537.13	O2MA	389	2981	3	substitutions	1	4.31179820094532e-07
Ancestor-O2MA	N2	537.13	O2MA	389	2981	4	substitutions	1	4.31179820094532e-07
Ancestor-O2MA	N2	537.24	O2MA	393	2986	1	deletions	6	2.55645940598109e-06
Ancestor-O2MA	N2	537.24	O2MA	393	2986	3	insertions	1	4.26076567663515e-07
Ancestor-O2MA	N2	537.24	O2MA	393	2986	1	substitutions	14	5.96507194728922e-06
Ancestor-O2MA	N2	537.25	O2MA	390	2991	1	deletions	5	2.14318168179753e-06
Ancestor-O2MA	N2	537.25	O2MA	390	2991	2	deletions	1	4.28636336359506e-07
Ancestor-O2MA	N2	537.25	O2MA	390	2991	3	insertions	1	4.28636336359506e-07
Ancestor-O2MA	N2	537.25	O2MA	390	2991	1	substitutions	14	6.00090870903308e-06
Ancestor-O2MA	N2	537.44	O2MA	393	2993	1	deletions	5	2.12540031915011e-06
