gwtrait	gwchr	gwpeak	mediator	multi_abs_est	multi_padjust	mediator_gene	e_peak	eQTL_classification	gene_gwas_qtl	q99	prop_med	q99_mediator
logTotalMu	III	4892173	B0303.3.1_B0303.3	0.0562524324620548	0	B0303.3	8816076	Local eQTL	B0303.3.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	C06E1.11.1_C06E1.11	0.0825196886448106	0	C06E1.11	8612723	Local eQTL	C06E1.11.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	C13G5.2.1_C13G5.2	0.0972982933852566	0	C13G5.2	8612723	Local eQTL	C13G5.2.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	C26E6.7b.1_eri-9	0.0852491991392051	0	eri-9	9541373	Distant eQTL	C26E6.7b.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	C44B9.4.1_athp-1	0.126060348672995	0	athp-1	10924547	Local eQTL	C44B9.4.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	athp-1
logTotalMu	III	4892173	F09G8.7.2_F09G8.7	0.101868180776496	0	F09G8.7	8353285	Local eQTL	F09G8.7.2_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	F10E9.6c.1_mig-10	0.0829023398802581	0	mig-10	9479950	Distant eQTL	F10E9.6c.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	F59E12.15.1_F59E12.15	0.235615258245276	0	F59E12.15	12614426	Distant eQTL	F59E12.15.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	F59E12.15
logTotalMu	III	4892173	F59E12.16c_F59E12.16	0.171294641493855	0	F59E12.16	9039944	Distant eQTL	F59E12.16c_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	F59E12.16
logTotalMu	III	4892173	H05C05.1a.2_H05C05.1	0.106963892225689	0	H05C05.1	3485330	Local eQTL	H05C05.1a.2_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	Y71H2AM.20b.1_Y71H2AM.20	0.146989665046745	0	Y71H2AM.20	2771432	Local eQTL	Y71H2AM.20b.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	Y71H2AM.20
logTotalMu	III	4892173	Y82E9BL.9_Y82E9BL.9	0.073599003037282	0	Y82E9BL.9	1380538	Local eQTL	Y82E9BL.9_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	ZC47.4.1_fbxa-30	0.100269543701511	0	fbxa-30	1179178	Local eQTL	ZC47.4.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	C13G5.2.2_C13G5.2	0.0546851238805892	0.001	C13G5.2	8612723	Local eQTL	C13G5.2.2_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	C30D11.1a.1_unc-103	0.0479464672013733	0.001	unc-103	3237714	Local eQTL	C30D11.1a.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	C34E10.3.2_gop-1	0.0589390383634622	0.001	gop-1	5185185	Local eQTL	C34E10.3.2_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	F27B3.7_F27B3.7	0.052133361416455	0.001	F27B3.7	5907927	Local eQTL	F27B3.7_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	F54H12.4.1_F54H12.4	0.06304321210944	0.001	F54H12.4	8657261	Local eQTL	F54H12.4.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	K01G5.8a.1_K01G5.8	0.0582362998800347	0.001	K01G5.8	10924547	Local eQTL	K01G5.8a.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	K11H3.8a.1_K11H3.8	0.129739615113512	0.001	K11H3.8	8269370	Distant eQTL	K11H3.8a.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	K11H3.8
logTotalMu	III	4892173	Y119D3B.21.1_Y119D3B.21	0.0649813095742623	0.001	Y119D3B.21	1213440	Local eQTL	Y119D3B.21.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	Y53G8AR.6.2_Y53G8AR.6	0.0645060954006172	0.001	Y53G8AR.6	3272136	Local eQTL	Y53G8AR.6.2_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	Y67D2.1.1_rep-1	0.0575340936961512	0.001	rep-1	1604698	Local eQTL	Y67D2.1.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	Y71H2AM.20a.1_Y71H2AM.20	0.110378863038389	0.001	Y71H2AM.20	2711178	Local eQTL	Y71H2AM.20a.1_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	ZC47.11_ZC47.11	0.0530487022947238	0.001	ZC47.11	1286892	Local eQTL	ZC47.11_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
logTotalMu	III	4892173	ZC47.8_ZC47.8	0.0860580856126325	0.001	ZC47.8	1267373	Local eQTL	ZC47.8_III_4892173	0.123329193354941	0 ≤ prop_med ≤ 1	NA
