gwtrait	gwchr	gwpeak	mediator	multi_abs_est	multi_padjust	mediator_gene	e_peak	eQTL_classification	gene_gwas_qtl	q99	prop_med	q99_mediator
logTotalMu	II	9296075	E01G4.1a.1_tbc-14	0.161292045795213	0	tbc-14	13510131	Local eQTL	E01G4.1a.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	tbc-14
logTotalMu	II	9296075	F10E7.11.1_F10E7.11	0.231986673163587	0	F10E7.11	7389588	Local eQTL	F10E7.11.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	F10E7.11
logTotalMu	II	9296075	F54C9.6.2_bcs-1	0.0845877178233847	0	bcs-1	9097926	Local eQTL	F54C9.6.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F59E12.15.1_F59E12.15	0.282319209885962	0	F59E12.15	6095043	Local eQTL	F59E12.15.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	F59E12.15
logTotalMu	II	9296075	F59E12.15.2_F59E12.15	0.223668649851211	0	F59E12.15	4968229	Local eQTL	F59E12.15.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	F59E12.15
logTotalMu	II	9296075	F59E12.16c_F59E12.16	0.197949520441211	0	F59E12.16	3511980	Distant eQTL	F59E12.16c_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	F59E12.16
logTotalMu	II	9296075	T07D4.3a.2_rha-1	0.117993640355287	0	rha-1	8905662	Local eQTL	T07D4.3a.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	T19H5.3.1_chil-27	0.0469498134465882	0	chil-27	9479705	Local eQTL	T19H5.3.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	Y54G11A.6.2_ctl-1	0.169180524418286	0	ctl-1	6095043	Distant eQTL	Y54G11A.6.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	ctl-1
logTotalMu	II	9296075	Y54G11A.6.2_ctl-1	0.169180524418286	0	ctl-1	14625147	Local eQTL	Y54G11A.6.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	ctl-1
logTotalMu	II	9296075	Y6D1A.1.2_Y6D1A.1	0.10310312699678	0	Y6D1A.1	11820563	Local eQTL	Y6D1A.1.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	C06C3.9_C06C3.9	0.091519579591342	0.001	C06C3.9	7355693	Distant eQTL	C06C3.9_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	R155.1a.2_mboa-6	0.0824686209772184	0.001	mboa-6	12001295	Distant eQTL	R155.1a.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	T02G5.3.1_T02G5.3	0.069822555307286	0.001	T02G5.3	6354583	Local eQTL	T02G5.3.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	T19H5.2.1_chil-26	0.0442609637541482	0.001	chil-26	9479705	Local eQTL	T19H5.2.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	Y48E1C.2.1_Y48E1C.2	0.202923712845913	0.001	Y48E1C.2	13557834	Local eQTL	Y48E1C.2.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	Y48E1C.2
logTotalMu	II	9296075	Y48E1C.2.2_Y48E1C.2	0.214782562388078	0.001	Y48E1C.2	5907776	Distant eQTL	Y48E1C.2.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	Y48E1C.2
logTotalMu	II	9296075	Y48E1C.2.2_Y48E1C.2	0.214782562388078	0.001	Y48E1C.2	13557834	Local eQTL	Y48E1C.2.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	Y48E1C.2
logTotalMu	II	9296075	Y57A10A.27.2_Y57A10A.27	0.152061796452128	0.001	Y57A10A.27	12314626	Local eQTL	Y57A10A.27.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	Y57A10A.27
logTotalMu	II	9296075	R03D7.2.1_R03D7.2	0.0820709143845798	0.002	R03D7.2	10923881	Local eQTL	R03D7.2.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	T19H5.1b.1_chil-25	0.05560216749482	0.002	chil-25	9479705	Local eQTL	T19H5.1b.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	W10G11.4.1_W10G11.4	0.0766452869801256	0.002	W10G11.4	5544015	Distant eQTL	W10G11.4.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	C44B7.2a.1_hrpl-1	0.0622859638096507	0.003	hrpl-1	10685640	Distant eQTL	C44B7.2a.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F59E12.4a.2_npl-4.1	0.122626967893045	0.004	npl-4.1	5544015	Local eQTL	F59E12.4a.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	B0252.3a.1_B0252.3	0.0763048682273472	0.005	B0252.3	5944790	Local eQTL	B0252.3a.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F44E5.3_F44E5.3	0.0485595698015287	0.005	F44E5.3	11703916	Local eQTL	F44E5.3_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	Y46G5A.15.1_Y46G5A.15	0.0655271020802403	0.005	Y46G5A.15	12799356	Local eQTL	Y46G5A.15.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	Y6D1A.1.1_Y6D1A.1	0.0893834625205207	0.005	Y6D1A.1	11807503	Local eQTL	Y6D1A.1.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	E04F6.8.2_E04F6.8	0.0540722775112196	0.007	E04F6.8	7271017	Local eQTL	E04F6.8.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F07H5.4_F07H5.4	0.0496924214011915	0.007	F07H5.4	7867402	Local eQTL	F07H5.4_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	ZK637.12.2_ZK637.12	0.0356446407509305	0.007	ZK637.12	12716738	Distant eQTL	ZK637.12.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	Y6D1A.3_Y6D1A.3	0.0320022683235291	0.008	Y6D1A.3	11831226	Local eQTL	Y6D1A.3_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F59E12.4b.1_npl-4.1	0.112139495671529	0.01	npl-4.1	5392976	Local eQTL	F59E12.4b.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F59E12.4b.1_npl-4.1	0.112139495671529	0.01	npl-4.1	12048446	Distant eQTL	F59E12.4b.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	T05H10.5c.1_ufd-2	0.0649735443100631	0.01	ufd-2	7813221	Local eQTL	T05H10.5c.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	T07D4.3b.1_rha-1	0.117114299633079	0.01	rha-1	8905662	Local eQTL	T07D4.3b.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F10E7.2.1_F10E7.2	0.105325207153553	0.011	F10E7.2	6882120	Local eQTL	F10E7.2.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F59E12.4a.1_npl-4.1	0.0984276067053651	0.011	npl-4.1	6046052	Local eQTL	F59E12.4a.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F59E12.4a.1_npl-4.1	0.0984276067053651	0.011	npl-4.1	12048446	Distant eQTL	F59E12.4a.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	T02G5.11a_T02G5.11	0.0969828726335224	0.011	T02G5.11	7389588	Local eQTL	T02G5.11a_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F44E5.5.1_F44E5.5	0.0306626279416115	0.012	F44E5.5	11733366	Local eQTL	F44E5.5.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	M28.8.2_M28.8	0.0374716888314094	0.012	M28.8	10621549	Local eQTL	M28.8.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	Y14H12B.2.2_Y14H12B.2	0.0456806987478779	0.013	Y14H12B.2	3948574	Local eQTL	Y14H12B.2.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	Y17G7B.5b.1_mcm-2	0.0300221827233525	0.014	mcm-2	12003112	Local eQTL	Y17G7B.5b.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F28C6.4a.1_pigg-1	0.0468105058578166	0.019	pigg-1	8486946	Local eQTL	F28C6.4a.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	C25H3.3.1_C25H3.3	0.038142162049042	0.02	C25H3.3	5586326	Local eQTL	C25H3.3.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	Y46G5A.18a.2_Y46G5A.18	0.0267209222786514	0.02	Y46G5A.18	12705177	Local eQTL	Y46G5A.18a.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	B0491.3.2_rmd-3	0.0357872608513121	0.023	rmd-3	11144362	Local eQTL	B0491.3.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	Y46G5A.6_Y46G5A.6	0.024528477970598	0.026	Y46G5A.6	12801660	Local eQTL	Y46G5A.6_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	T05A7.2.1_clec-140	0.0371834188305107	0.027	clec-140	4667966	Local eQTL	T05A7.2.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F15A4.9.1_arrd-9	0.0369031984953574	0.029	arrd-9	12458240	Local eQTL	F15A4.9.1_II_9296075	0.135949633089474	NA	NA
logTotalMu	II	9296075	Y46G5A.13.2_tiar-2	0.0257492466824127	0.03	tiar-2	12799740	Local eQTL	Y46G5A.13.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	Y38E10A.10_lips-16	0.0417473544456472	0.032	lips-16	12737784	Local eQTL	Y38E10A.10_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	ZK20.5.2_rpn-12	0.0256933688905033	0.032	rpn-12	11908249	Local eQTL	ZK20.5.2_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	T24F1.3b.1_rsf-1	0.0275512655754367	0.033	rsf-1	11307635	Local eQTL	T24F1.3b.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	E02H1.2.1_eral-1	0.0317512151365963	0.037	eral-1	10055669	Local eQTL	E02H1.2.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F43G6.17a.1_F43G6.17	0.0217541035017334	0.037	F43G6.17	11818021	Local eQTL	F43G6.17a.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	Y57A10A.18a.2_pqn-87	0.0237204812908577	0.042	pqn-87	12231078	Local eQTL	Y57A10A.18a.2_II_9296075	0.135949633089474	NA	NA
logTotalMu	II	9296075	M176.6a.1_kin-15	0.0237293443294505	0.043	kin-15	9387327	Local eQTL	M176.6a.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	C07A9.3c.1_tlk-1	0.0420917680166935	0.044	tlk-1	6775816	Distant eQTL	C07A9.3c.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F18A12.6.1_nep-10	0.0686238963011144	0.044	nep-10	3402871	Local eQTL	F18A12.6.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F44E5.2.1_F44E5.2	0.0268141900157225	0.047	F44E5.2	11783433	Local eQTL	F44E5.2.1_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F32A11.4_F32A11.4	0.0375400107922266	0.049	F32A11.4	13148489	Local eQTL	F32A11.4_II_9296075	0.135949633089474	0 ≤ prop_med ≤ 1	NA
logTotalMu	II	9296075	F43E2.6b.1_F43E2.6	0.024187691568913	0.052	F43E2.6	7323087	Local eQTL	F43E2.6b.1_II_9296075	0.135949633089474	NA	NA
logTotalMu	II	9296075	F54D5.4.1_F54D5.4	0.0208877405099296	0.054	F54D5.4	11562273	Local eQTL	F54D5.4.1_II_9296075	0.135949633089474	NA	NA
logTotalMu	II	9296075	F13H8.2.2_F13H8.2	0.0339462791223502	0.058	F13H8.2	11069358	Distant eQTL	F13H8.2.2_II_9296075	0.135949633089474	NA	NA
