transcript	h2_SNV	h2_SNV_STR
Y73E7A.9d.1	0.0846897490832729	0.0770903314474196
Y73F4A.1.1	0.0708840394100826	0.101186454682047
Y73F4A.2.1	0.0188416121756722	0.0191405686182922
Y73F4A.3.1	0.0058112087427995	0.00577983191035744
Y73F4A.3.2	0	0
Y73F8A.11.1	0.0396595564066539	0.0431935448961723
Y73F8A.11.2	0	0
Y73F8A.1173	0.130108380348159	0.131861525049554
Y73F8A.12.1	0.215120998285062	0.216830357393083
Y73F8A.13.1	0.00515492710922041	0.00436028065468412
Y73F8A.13.2	0.152173458632038	0.161471619484433
Y73F8A.14.1	0.503274829698409	0.507014051843744
Y73F8A.15.1	0.116493122843472	0.119039557317063
Y73F8A.19.1	0.0354905369404954	0.0408713180006556
Y73F8A.20.1	0.0420475730435735	0.045707955610179
Y73F8A.21a.1	0.0132443037587229	0.0162486214545079
Y73F8A.21c.1	0.0803785778388113	0.081423537223217
Y73F8A.24a.1	0.08666747197729	0.0903076742989958
Y73F8A.24b.1	0.0472216406888664	0.0472623552889763
Y73F8A.24c.2	0.407475412547603	0.45869279469021
Y73F8A.25a.2	0.00807726412901742	0.00568562556821458
Y73F8A.25b.1	0.0548485471736086	0.0539774885016189
Y73F8A.25c.1	0.684452233901096	0.699916301581928
Y73F8A.25d.1	0.601879762199196	0.603563322668326
Y73F8A.25e.1	0.0286125720459244	0.0275606138047352
Y73F8A.26a.1	0.0760651705875021	0.0763405167361994
Y73F8A.26b.1	0.4331609455164	0.429637431033602
Y73F8A.27.1	0.0253495289687235	0.0252633872138087
Y73F8A.27.2	0.0364676082017837	0.0371702000097068
Y73F8A.30a.1	0.0149708161305626	0.0181257500906299
Y73F8A.30b.1	0.0283031763886789	0.0258689029069317
Y73F8A.31	0.597679605923414	0.674200138283246
Y73F8A.33	0.435264663742543	0.463964709311396
Y73F8A.34a.1	0.425481421281167	0.42374131035274
Y73F8A.34b.1	0.693104239948405	0.700084460499088
Y73F8A.35a.1	0.0390639568189752	0.0400494944916667
Y73F8A.37	0.49649731336801	0.53272499676428
Y73F8A.5.1	0.0732047815319082	0.071704850233633
Y73F8A.6.1	0.029248325113713	0.0318076535856565
Y73F8A.6.2	0.177320541304574	0.180083582748377
Y73F8A.9.1	0.0702794129507715	0.0743246955471799
Y74C10AL.2.1	0.424497494065295	0.417287478245454
Y74C10AL.2.2	0.713836597746545	0.721459017444874
Y74C10AR.1a.2	0.0372314458545438	0.0435291922322306
Y74C10AR.2.1	0.442996071103583	0.465849371247465
Y74C10AR.3a.2	0.389147065086942	0.402353157234898
Y74C10AR.3c.1	0	0
Y74C9A.1.1	0.126679336146731	0.132032867814567
Y74C9A.2a.1	0.328174379498515	0.33502207421096
Y74C9A.2a.2	0.192622907758512	0.200955159642338
Y74C9A.3.1	0.0416726570986956	0.0430793970241402
Y74C9A.3.2	0.27683137117042	0.279815965106597
Y74C9A.4a.1	0.0939446193430196	0.0974495105969081
Y74C9A.4a.2	0	0
Y74C9A.4b.2	0.0439270517363804	0.0483956083274016
Y74C9A.4c.1	0.0859205350920529	0.0838396566739062
Y74C9A.5.1	0.14145229731107	0.147982523016209
Y74C9A.5.2	0.0786739505714947	0.0801946701497534
Y74C9A.9	0.476211724137452	0.468117827289649
Y74E4A.1a.1	0.0453912535521914	0.0498417664607721
Y74E4A.1b.1	0.0824192507578531	0.0860655467419825
Y75B12A.1	1	1
Y75B12B.1a.2	0.331148104113556	0.346608084915071
Y75B12B.1b.1	0.254236056272729	0.252576555929903
Y75B12B.1c.2	0.124239414114235	0.12995791003304
Y75B12B.2.1	0.0568888574002594	0.059939712840467
Y75B12B.2.2	1	1
Y75B12B.3.1	0	0
Y75B12B.3.2	0	0
Y75B12B.4.1	0.0347888332496294	0.0442533024027326
Y75B12B.4.2	0.0224936486468412	0.0238160209111062
Y75B12B.5.2	0.102542222371818	0.105224060268749
Y75B12B.6.1	0.00129629939229586	0.00150492234808397
Y75B12B.6.2	0.0415989051770418	0.0430233036275771
Y75B7AL.1a.1	0.0588669967695178	0.0604605086664615
Y75B7AL.1a.2	0.0963975684452273	0.0987244295298253
Y75B7AL.2a.1	0.0942687694912175	0.097970800995913
Y75B7AL.3.1	0	0
Y75B7AL.3.2	0	0
Y75B7AL.4a.2	0.155321674380152	0.172907928215821
Y75B7AL.4c.1	0.135808117787815	0.140677692055148
Y75B7AL.4d.1	0.0434775661663932	0.0463462784594005
Y75B7AL.4e.1	0.0532780587876641	0.0545333111575138
Y75B7AL.4f.1	0.0194763152314579	0.0214057921094972
Y75B7AL.4g.1	0.0904829178629682	0.101141691179563
Y75B7AR.1.1	0.0942496047745168	0.100739895441929
Y75B7B.1.1	0.0566978424391221	0.0603740438254189
Y75B7B.2.1	0.0337140861577434	0.0439198808702626
Y75B8A.1.1	0.144888769400387	0.150954885820435
Y75B8A.1.2	0.039114412475603	0.0404113138809498
Y75B8A.10.1	0.151057919554696	0.165365089577048
Y75B8A.11a.1	0.00641767362591446	0.0128077630386774
Y75B8A.12.1	0.0895134240659727	0.0853019491908588
Y75B8A.13.1	0.00949638076766351	0.0101111316773959
Y75B8A.14.1	0.343735335395625	0.361558888078268
Y75B8A.16.1	0.0803960697033153	0.0797649414936511
Y75B8A.16.2	0.0626312580343212	0.0672299743501371
Y75B8A.17.1	0.0586823387969483	0.0612751388575445
Y75B8A.17.2	0.0382159572820579	0.0418780021541411
Y75B8A.18a.2	0.0893152123424526	0.0953911209224445
Y75B8A.18b.1	0.172083892818416	0.168205307107792
Y75B8A.19.1	0.0262556027004788	0.027418526135087
Y75B8A.19.2	0.128578334297442	0.136512247345168
Y75B8A.20.1	0.0849802504165943	0.0895093227037555
Y75B8A.21.1	0.106777264729439	0.109648304050966
Y75B8A.22.1	0.0724362103488643	0.0718137671374539
Y75B8A.22.2	0.108892480448003	0.124697378539485
Y75B8A.23.1	0.118950640606727	0.12533401680779
Y75B8A.24.1	0.150011414417993	0.159577456430484
Y75B8A.24.2	0.0749984215978141	0.0725239126255312
Y75B8A.25.2	0.237844788640421	0.244033064346535
Y75B8A.26.1	0.316551704685384	0.326686539822841
Y75B8A.27.2	0.0300790259936759	0.0325120365242319
Y75B8A.28.1	0.183956837245595	0.184115406168895
Y75B8A.29.1	0.0368145443713069	0.0367673424583587
Y75B8A.2a.2	0.129182056768257	0.135721263003625
Y75B8A.2b.1	0.0687705543505455	0.0696596167613194
Y75B8A.3.1	0.164243682723496	0.174765726773652
Y75B8A.35a.1	0.127816601493555	0.138800107226283
Y75B8A.35b.1	0.107987306881881	0.109819683240192
Y75B8A.35b.2	0.0208713326015072	0.0195608811379015
Y75B8A.35c.1	0.409079845138565	0.401620331683241
Y75B8A.4.1	0.190387847645099	0.197918901837173
Y75B8A.44.1	0.0318088967195722	0.0368758945166638
Y75B8A.5.1	0.0893228851272806	0.0923422549395346
Y75B8A.5.2	0.137856794391258	0.141666204142788
Y75B8A.6a.1	0.0490988951790493	0.0521152832220134
Y75B8A.6c.1	0.0664774030879371	0.0731403207338504
Y75B8A.7.1	0.129646312239604	0.133154396611085
Y75B8A.7.2	0.0988018249766251	0.100897898875661
Y75B8A.8.1	0.138519319783039	0.145523510378092
Y75B8A.9a.2	0.0609204120676138	0.0626736872863342
Y75D11A.2.1	0.561686332786404	0.598424705293093
Y75D11A.3.1	0.420816844254249	0.421799413371633
Y76A2A.1.1	0.0615381871636578	0.0647852301093632
