strain	Total_mutation
ECA1875	17.3244657653729
ECA1885	34.2870015769317
ECA1887	17.2026431718062
ECA1889	17.1266325951164
ECA189	17.6358031253322
ECA1891	32.9248173462173
ECA1901	16.5783079301966
ECA191	33.8183562519987
ECA1919	33.6664146051637
ECA1925	35.8666215301286
ECA1937	18.7616438356164
ECA1939	18.7048785823671
ECA1943	19.2114185715848
ECA1969	33.5092491838955
ECA1977	18.7094609707001
ECA1997	33.325877879669
ECA2041	17.3603564442512
ECA2043	34.1105742218227
ECA2073	33.4011436111722
ECA2081	33.9330773450357
ECA2091	32.7278997585929
ECA2109	35.4509392136274
ECA2111	17.2332492597873
ECA2119	22.7994139909657
ECA2151	27.3999562650339
ECA2155	33.8670360110803
ECA2159	34.2224681793027
ECA2183	34.8947116535056
ECA2187	34.6061916685636
ECA2191	37.3230769230769
ECA2195	37.2024539877301
ECA2199	34.7666459240821
ECA2251	33.2925200356189
ECA2281	34.0445473591355
ECA2291	33.9256152742523
ECA2332	18.3517324297737
ECA2334	32.2617289560377
ECA2336	34.1583610188261
ECA2344	17.1065493646139
ECA2350	17.2983156028369
ECA2360	33.6725360164647
ECA2367	33.5031257235471
ECA2377	19.180529195043
ECA2417	33.9368968882142
CB4851	4.70379409806967
ECA2437	20.2450661461722
ECA2443	33.9488636363636
ECA2452	17.793546659526
CB4853	10.1128880526811
ECA2467	18.8377535101404
ECA2473	33.4086264386361
ECA2475	34.3120165595381
CB4855	11.6766800178015
ECA2481	19.6963261839032
ECA2482	33.6475588491718
ECA2489	33.3136602639768
CB4857	10.7812330696717
CB4858	10.1290322580645
ECA2522	10.891477209094
ECA2523	17.2025543356487
ECA2527	11.970256066197
ECA2529	10.3026330164973
ECA2533	13.7275092130934
ECA2536	10.5785931393834
ECA2546	9.63533136805328
ECA2549	10.0355335415096
ECA2551	11.6230017761989
ECA2554	9.37107636114599
ECA2555	11.6572548115708
ECA2559	9.82283908824193
ECA2560	8.46720950704225
ECA2561	14.9466192170819
ECA2565	4.56088480070083
ECA2568	8.65620976237856
ECA2581	23.4547461368653
ECA2583	10.0126143172501
ECA2584	10.7036669970268
PB306	12.8290177616092
ECA2594	10.3711790393013
ECA2595	17.6747083474912
ECA2601	14.3519017347269
ECA2602	7.95429454625745
ECA2603	8.02960017671747
ECA2607	7.1607084646311
ECA2609	10.8986200152124
ECA2612	14.5539647577093
ECA2615	8.48130583434433
ECA2641	8.8942046319452
ECA2648	10.4571614724726
ECA2656	9.90247146181979
ECA2659	13.7615727511716
ECA2660	13.7241379310345
ECA2672	11.5372062663185
ECA2676	11.447456120862
ECA347	33.0750826022559
ECA348	14.4304757776092
ECA349	11.5176433850317
ECA36	34.3175217812197
ECA363	34.1823198556723
ECA369	21.1336717428088
ECA372	16.0777569314155
ECA396	31.7420435510888
ECA592	15.5331882480958
ECA593	17.4585095997397
ECA594	15.8629303790594
ECA640	11.4921976592978
ECA701	32.0114326545195
ECA703	20.4530423280423
ECA705	17.4172398968186
ECA706	18.7424822307272
ECA710	17.0183982683983
ECA712	17.312661498708
ECA722	33.6344835093066
ECA723	33.8492151227062
ECA724	32.612945264987
ECA730	33.5147915979325
